epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,108304,1.72258,2.20238,1.78743,0.45612,0.43891,0.42642,0.195,1.83101,1.87203,1.81705,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,110297,1.72037,2.1811,1.78261,0.46554,0.43364,0.42741,0.19548,1.83112,1.86835,1.81663,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,112288,1.72009,2.16476,1.77879,0.47246,0.42987,0.42916,0.19637,1.83101,1.86425,1.81528,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,114279,1.71519,2.15469,1.77501,0.45405,0.4467,0.43156,0.19701,1.82977,1.86169,1.81366,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,116273,1.71516,2.15244,1.76906,0.45611,0.44854,0.43154,0.19731,1.82921,1.85982,1.81218,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,118267,1.70565,2.12159,1.76482,0.46308,0.44874,0.43227,0.19809,1.82937,1.85778,1.812,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,120274,1.70684,2.12154,1.76375,0.4621,0.44886,0.43298,0.19842,1.82909,1.85469,1.81148,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,122271,1.69821,2.10838,1.76127,0.4589,0.44856,0.43385,0.19916,1.82851,1.85235,1.81058,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,124263,1.69607,2.10704,1.75609,0.46077,0.44725,0.4343,0.19939,1.82846,1.85052,1.80997,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,126262,1.69617,2.09129,1.75371,0.46386,0.44699,0.43509,0.19986,1.82817,1.84869,1.80908,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,128365,1.68938,2.07966,1.74427,0.46408,0.44884,0.43596,0.19975,1.82836,1.84713,1.80808,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,130452,1.68225,2.05178,1.74547,0.46743,0.44676,0.43705,0.2007,1.82834,1.8456,1.8074,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,132398,1.67441,2.05765,1.74306,0.46858,0.44626,0.43727,0.20125,1.82843,1.84357,1.80701,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,134371,1.67929,2.0549,1.73655,0.47509,0.44875,0.43803,0.20171,1.82848,1.84213,1.8067,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,136368,1.66134,2.03339,1.73086,0.47265,0.44984,0.43794,0.20208,1.82805,1.84157,1.80604,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,138367,1.66114,2.01684,1.72354,0.47356,0.45036,0.43845,0.2026,1.82769,1.8405,1.80534,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,140360,1.66302,2.01679,1.7239,0.47799,0.45546,0.43949,0.20298,1.82758,1.83923,1.80495,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,142330,1.65703,2.01203,1.72378,0.48273,0.45364,0.44048,0.20345,1.82802,1.83724,1.80502,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,144307,1.64517,1.99516,1.71476,0.47754,0.45531,0.44112,0.20414,1.82775,1.83548,1.8043,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,146299,1.64486,1.98168,1.71114,0.47722,0.45544,0.44216,0.20445,1.82806,1.83358,1.80415,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,148290,1.64162,1.95922,1.70874,0.48344,0.45682,0.44276,0.20479,1.82797,1.83217,1.80381,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,150291,1.64023,1.94891,1.70285,0.48451,0.45888,0.44391,0.20541,1.82821,1.83016,1.80342,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,152282,1.63266,1.95014,1.70225,0.47915,0.46245,0.44427,0.20633,1.82855,1.82953,1.80325,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,154268,1.62771,1.94267,1.69165,0.47767,0.46213,0.44446,0.20681,1.8289,1.82845,1.80304,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,156262,1.62697,1.91932,1.69409,0.48843,0.45495,0.44564,0.20676,1.82914,1.82775,1.8027,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,158258,1.62118,1.91287,1.68629,0.48944,0.45624,0.44599,0.20704,1.82905,1.82711,1.80229,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,160251,1.6201,1.89163,1.68521,0.48798,0.45808,0.44659,0.20726,1.82978,1.82542,1.80211,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,162243,1.60962,1.8995,1.67665,0.49054,0.45631,0.44702,0.20773,1.83023,1.82418,1.80181,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,164233,1.61387,1.87562,1.67246,0.49534,0.45513,0.44769,0.20771,1.83082,1.82335,1.80193,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,166226,1.59163,1.86102,1.66025,0.49846,0.45676,0.44851,0.20788,1.83126,1.82249,1.80169,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,168219,1.59044,1.84031,1.66227,0.50154,0.45739,0.44948,0.20849,1.83175,1.82124,1.80155,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,170221,1.601,1.84986,1.6662,0.50193,0.456,0.45012,0.20901,1.83175,1.82081,1.80112,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,172387,1.58635,1.83751,1.65667,0.50442,0.45177,0.45037,0.20923,1.83182,1.81993,1.80058,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,174377,1.58572,1.81358,1.65674,0.5116,0.45221,0.45104,0.20973,1.83241,1.81865,1.80043,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,176370,1.5826,1.81578,1.65151,0.5078,0.4505,0.4511,0.21032,1.83299,1.81768,1.8002,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,178364,1.56761,1.79383,1.63952,0.51072,0.45661,0.45124,0.21034,1.83309,1.81718,1.79968,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,180355,1.56666,1.77296,1.63444,0.51423,0.45987,0.45258,0.21095,1.83344,1.81627,1.7995,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,182344,1.56576,1.77953,1.63254,0.50729,0.46067,0.45293,0.21094,1.83474,1.81536,1.80007,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,184331,1.55893,1.78037,1.6291,0.50886,0.46321,0.45301,0.21145,1.83533,1.81496,1.79987,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,186457,1.552,1.75602,1.62887,0.518,0.4623,0.45256,0.21171,1.83618,1.81453,1.80047,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
